id,satisfaction,satisfaction score,voice of customer
2957,neutral or dissatisfied,4,NIL
2978,neutral or dissatisfied,4,"The frequent flyer program offered limited benefits, leaving me unsatisfied with the rewards."
2980,neutral or dissatisfied,3,NIL
2982,neutral or dissatisfied,4,NIL
2994,neutral or dissatisfied,4,NIL
3010,neutral or dissatisfied,4,NIL
3017,neutral or dissatisfied,3,NIL
3018,neutral or dissatisfied,3,NIL
3032,neutral or dissatisfied,3,NIL
3046,neutral or dissatisfied,4,I encountered unclean or unsanitary footrests in the seats.
3059,neutral or dissatisfied,3,NIL
3081,neutral or dissatisfied,4,NIL
3090,neutral or dissatisfied,4,NIL
3093,neutral or dissatisfied,4,NIL
3111,neutral or dissatisfied,3,NIL
3112,neutral or dissatisfied,3,NIL
3118,neutral or dissatisfied,3,NIL
3120,neutral or dissatisfied,3,NIL
3124,neutral or dissatisfied,4,NIL
3145,neutral or dissatisfied,4,NIL
3178,neutral or dissatisfied,3,NIL
3179,neutral or dissatisfied,4,NIL
3185,neutral or dissatisfied,3,NIL
3191,neutral or dissatisfied,3,"I expected better punctuality from the airline, but the departure was repeatedly delayed."
3214,neutral or dissatisfied,4,"I experienced a whirlwind of emotions during the lengthy wait for flight departure, from frustration to sadness."
3219,neutral or dissatisfied,3,NIL
3225,neutral or dissatisfied,4,NIL
3227,neutral or dissatisfied,3,The lengthy wait for flight arrival left me feeling emotionally exhausted and let down.
3232,neutral or dissatisfied,3,NIL
3266,neutral or dissatisfied,4,NIL
3272,neutral or dissatisfied,4,NIL
3284,neutral or dissatisfied,3,The flight delay inconvenienced passengers and affected their travel experience.
3288,neutral or dissatisfied,4,NIL
3294,neutral or dissatisfied,3,I expect the airline to provide a solution for the departure delay. This is absurd!
3298,neutral or dissatisfied,4,The flight attendants lacked professionalism.
3302,neutral or dissatisfied,4,NIL
3305,neutral or dissatisfied,4,NIL
3308,neutral or dissatisfied,4,NIL
3311,neutral or dissatisfied,3,NIL
3313,neutral or dissatisfied,3,NIL
3337,neutral or dissatisfied,4,NIL
3338,neutral or dissatisfied,4,NIL
3350,neutral or dissatisfied,3,NIL
3363,neutral or dissatisfied,3,NIL
3364,neutral or dissatisfied,4,NIL
3375,neutral or dissatisfied,3,NIL
3376,neutral or dissatisfied,4,"I faced challenges understanding the airline's complex infant travel policy, resulting in confusion and difficulties in arranging travel for infants."
3387,neutral or dissatisfied,4,NIL
3389,neutral or dissatisfied,4,NIL
3392,neutral or dissatisfied,4,NIL
3396,neutral or dissatisfied,3,NIL
3400,neutral or dissatisfied,3,"The flight had malfunctioning seatback screens, depriving passengers of in-flight entertainment options."
3405,neutral or dissatisfied,3,NIL
3424,neutral or dissatisfied,3,NIL
3433,neutral or dissatisfied,4,NIL
3434,neutral or dissatisfied,3,NIL
3457,neutral or dissatisfied,3,"The entire experience was emotionally taxing, and I felt let down by the airline's lack of customer-centricity."
3475,neutral or dissatisfied,4,NIL
3487,neutral or dissatisfied,3,NIL
3511,neutral or dissatisfied,3,NIL
3522,neutral or dissatisfied,3,NIL
3526,neutral or dissatisfied,3,NIL
3527,neutral or dissatisfied,3,NIL
3543,neutral or dissatisfied,3,The prolonged wait for flight arrival triggered significant emotional turmoil and anxiety.
3556,neutral or dissatisfied,3,NIL
3559,neutral or dissatisfied,3,"I was heartbroken by the significant delay in our flight departure, as it ruined my special event."
3560,neutral or dissatisfied,4,NIL
3561,neutral or dissatisfied,4,The prolonged wait for flight arrival caused me significant emotional distress and robbed me of enjoyment.
3562,neutral or dissatisfied,3,NIL
3564,neutral or dissatisfied,3,Cramped seating arrangement made it impossible to relax or sleep during the flight.
3578,neutral or dissatisfied,4,NIL
3595,neutral or dissatisfied,3,NIL
3660,neutral or dissatisfied,3,NIL
3678,neutral or dissatisfied,3,NIL
3680,neutral or dissatisfied,4,NIL
3692,neutral or dissatisfied,3,NIL
3700,neutral or dissatisfied,4,NIL
3702,neutral or dissatisfied,3,"The airline didn't provide updates or explanations for a delayed departure, leaving passengers in the dark."
3723,neutral or dissatisfied,4,NIL
3724,neutral or dissatisfied,4,NIL
3726,neutral or dissatisfied,3,NIL
3739,neutral or dissatisfied,3,NIL
3750,neutral or dissatisfied,2,"The baggage handling staff mishandled my sports equipment, causing irreparable damage."
3755,neutral or dissatisfied,4,"I felt a mix of anger and sadness during the long wait for flight departure, which took an emotional toll on me."
3780,neutral or dissatisfied,3,NIL
3782,neutral or dissatisfied,3,The airline did not provide sufficient support for passengers with medical conditions.
3783,neutral or dissatisfied,3,NIL
3787,neutral or dissatisfied,4,NIL
3789,neutral or dissatisfied,3,NIL
3790,neutral or dissatisfied,4,NIL
3822,neutral or dissatisfied,3,NIL
3825,neutral or dissatisfied,4,The turbulence during the flight was unexpected and made the journey uncomfortable.
3828,neutral or dissatisfied,4,NIL
3829,neutral or dissatisfied,3,The flight experienced multiple delays throughout the journey.
3831,neutral or dissatisfied,3,NIL
3834,neutral or dissatisfied,4,NIL
3835,neutral or dissatisfied,4,NIL
3842,neutral or dissatisfied,4,NIL
3852,neutral or dissatisfied,4,NIL
3854,neutral or dissatisfied,3,NIL
3857,neutral or dissatisfied,3,NIL
3858,neutral or dissatisfied,4,NIL
3859,neutral or dissatisfied,3,NIL
3861,neutral or dissatisfied,3,"The flight was delayed, and the airline did not offer any explanation."
3862,neutral or dissatisfied,4,"The lack of proper coordination between the airline and the ground staff resulted in a significant delay in our departure, causing frustration and dissatisfaction among passengers."
3863,neutral or dissatisfied,4,NIL
3865,neutral or dissatisfied,4,NIL
3867,neutral or dissatisfied,4,The repeated delays in flight departure made me question the airline's reliability.
3875,neutral or dissatisfied,3,NIL
3889,neutral or dissatisfied,3,NIL
3898,neutral or dissatisfied,4,NIL
3901,neutral or dissatisfied,3,NIL
3902,neutral or dissatisfied,4,NIL
3905,neutral or dissatisfied,4,NIL
3906,neutral or dissatisfied,4,NIL
3908,neutral or dissatisfied,3,NIL
3944,neutral or dissatisfied,3,NIL
3949,neutral or dissatisfied,4,I noticed unclean or dusty seatbelt buckles.
3956,neutral or dissatisfied,4,NIL
3958,neutral or dissatisfied,4,NIL
3967,neutral or dissatisfied,3,NIL
3972,neutral or dissatisfied,4,NIL
3980,neutral or dissatisfied,4,NIL
3989,neutral or dissatisfied,4,NIL
3991,neutral or dissatisfied,4,NIL
4013,neutral or dissatisfied,4,NIL
4024,neutral or dissatisfied,3,Difficulties in reaching customer service.
4030,neutral or dissatisfied,3,NIL
4039,neutral or dissatisfied,4,NIL
4040,neutral or dissatisfied,3,NIL
4057,neutral or dissatisfied,3,NIL
4058,neutral or dissatisfied,4,NIL
4060,neutral or dissatisfied,3,The airline did not prioritize customer satisfaction during delays.
4073,neutral or dissatisfied,3,I received my bag with broken locks or security seals.
4126,neutral or dissatisfied,3,NIL
4131,neutral or dissatisfied,3,NIL
4139,neutral or dissatisfied,3,NIL
4152,neutral or dissatisfied,4,NIL
4155,neutral or dissatisfied,3,NIL
4165,neutral or dissatisfied,4,NIL
4173,neutral or dissatisfied,3,NIL
4174,neutral or dissatisfied,4,NIL
4178,neutral or dissatisfied,3,NIL
4180,neutral or dissatisfied,3,NIL
4209,neutral or dissatisfied,4,NIL
4210,neutral or dissatisfied,4,NIL
4211,neutral or dissatisfied,3,"Flight attendants were unresponsive to passenger requests, disregarding their needs and concerns."
4214,neutral or dissatisfied,4,NIL
4218,neutral or dissatisfied,3,NIL
4224,neutral or dissatisfied,3,NIL
4235,neutral or dissatisfied,4,NIL
4242,neutral or dissatisfied,4,"The delayed arrival meant that I had to incur additional expenses for accommodation and transportation at my destination, as I arrived much later than anticipated."
4244,neutral or dissatisfied,4,NIL
4245,neutral or dissatisfied,3,NIL
4247,neutral or dissatisfied,4,NIL
4266,neutral or dissatisfied,3,NIL
4273,neutral or dissatisfied,3,NIL
4291,neutral or dissatisfied,4,NIL
4299,neutral or dissatisfied,3,NIL
4302,neutral or dissatisfied,3,NIL
4304,neutral or dissatisfied,4,NIL
4307,neutral or dissatisfied,3,NIL
4310,neutral or dissatisfied,4,NIL
4315,neutral or dissatisfied,3,NIL
4320,neutral or dissatisfied,3,The delay in arrival caused me to miss a crucial business meeting. Unacceptable.
4323,neutral or dissatisfied,4,NIL
4367,neutral or dissatisfied,3,NIL
4369,neutral or dissatisfied,4,NIL
4377,neutral or dissatisfied,3,NIL
4399,neutral or dissatisfied,3,NIL
4427,neutral or dissatisfied,4,NIL
4433,neutral or dissatisfied,3,NIL
4457,neutral or dissatisfied,4,NIL
4458,neutral or dissatisfied,4,NIL
4463,neutral or dissatisfied,3,NIL
4465,neutral or dissatisfied,3,NIL
4466,neutral or dissatisfied,0,NIL
4472,neutral or dissatisfied,3,The customer service representative was uncooperative and unwilling to find a solution.
4475,neutral or dissatisfied,4,NIL
4494,neutral or dissatisfied,3,NIL
4507,neutral or dissatisfied,4,NIL
4519,neutral or dissatisfied,3,NIL
4537,neutral or dissatisfied,3,"The heavy fog during the flight resulted in low visibility, and it was concerning for passengers."
4546,neutral or dissatisfied,3,My flight arrived significantly later than scheduled.
4547,neutral or dissatisfied,4,NIL
4554,neutral or dissatisfied,3,NIL
4556,neutral or dissatisfied,3,NIL
4570,neutral or dissatisfied,3,NIL
4572,neutral or dissatisfied,3,"There was limited overhead storage space, making it difficult to find room for my belongings."
4575,neutral or dissatisfied,3,NIL
4582,neutral or dissatisfied,3,NIL
4589,neutral or dissatisfied,4,NIL
4592,neutral or dissatisfied,4,NIL
4593,neutral or dissatisfied,4,The food options on my flight were unsatisfactory and lacked variety.
4595,neutral or dissatisfied,3,NIL
4598,neutral or dissatisfied,3,NIL
4613,neutral or dissatisfied,4,NIL
4620,neutral or dissatisfied,4,NIL
4626,neutral or dissatisfied,3,NIL
4633,neutral or dissatisfied,4,The absence of reclining seats on the flight made it impossible to find a comfortable position.
4662,neutral or dissatisfied,4,NIL
4671,neutral or dissatisfied,3,NIL
4672,neutral or dissatisfied,4,NIL
4676,neutral or dissatisfied,3,NIL
4688,neutral or dissatisfied,4,NIL
4689,neutral or dissatisfied,4,NIL
4713,neutral or dissatisfied,3,NIL
4722,neutral or dissatisfied,3,NIL
4723,neutral or dissatisfied,4,NIL
4730,neutral or dissatisfied,3,NIL
4745,neutral or dissatisfied,3,NIL
4754,neutral or dissatisfied,4,NIL
4777,neutral or dissatisfied,3,The delayed flight arrival disrupted my plans and caused unnecessary inconvenience.
4782,neutral or dissatisfied,4,NIL
4783,neutral or dissatisfied,3,NIL
4788,neutral or dissatisfied,3,The extended delay disrupted my travel plans.
4826,neutral or dissatisfied,3,NIL
4840,neutral or dissatisfied,3,NIL
4841,neutral or dissatisfied,3,NIL
4847,neutral or dissatisfied,3,NIL
4848,neutral or dissatisfied,4,NIL
4849,neutral or dissatisfied,3,NIL
4858,neutral or dissatisfied,3,I had to wait at the airport for hours due to the flight delay. Annoying and exhausting.
4879,neutral or dissatisfied,4,NIL
4882,neutral or dissatisfied,3,NIL
4914,neutral or dissatisfied,3,The staff displayed a lack of professionalism and courtesy towards passengers.
4917,neutral or dissatisfied,4,NIL
4919,neutral or dissatisfied,3,NIL
4922,neutral or dissatisfied,4,NIL
4930,neutral or dissatisfied,4,NIL
4933,neutral or dissatisfied,3,"The turbulence was prolonged and rough, making it impossible to engage in any conversation or relaxation during the flight."
4937,neutral or dissatisfied,3,NIL
4938,neutral or dissatisfied,4,NIL
4943,neutral or dissatisfied,3,NIL
4944,neutral or dissatisfied,4,NIL
4962,neutral or dissatisfied,3,NIL
4963,neutral or dissatisfied,4,NIL
4965,neutral or dissatisfied,3,NIL
