,topic,voice of customer,id,satisfaction,satisfaction score
95,35,The staff displayed a lack of professionalism and courtesy towards passengers.,4914,neutral or dissatisfied,3
96,10,"The turbulence was prolonged and rough, making it impossible to engage in any conversation or relaxation during the flight.",4933,neutral or dissatisfied,3
97,0,I experienced a lack of fresh and healthy food options onboard.,4969,neutral or dissatisfied,4
98,0,I encountered a delay in receiving my requested special dietary meal.,4995,neutral or dissatisfied,4
99,-1,The cabin had an unpleasant and unclean smell.,5065,neutral or dissatisfied,4
100,-1,"The delayed flight arrival disrupted my plans, and I felt inconvenienced and disappointed.",5075,neutral or dissatisfied,3
101,54,I was dissatisfied with the cleanliness of the restrooms.,5078,neutral or dissatisfied,4
102,-1,"The airline's customer service hotline had long wait times and unhelpful representatives, making it challenging to resolve issues or get assistance.",5081,neutral or dissatisfied,3
103,5,How can the airline justify the repeated delays? This is an affront to passengers like me!,5082,neutral or dissatisfied,4
104,1,I was disappointed with the lack of compensation for the delayed flight.,5131,neutral or dissatisfied,3
105,0,The airline did not offer any complimentary amenity kits for long-haul flights.,5162,neutral or dissatisfied,3
106,-1,The flight attendants did not provide clear and accurate information about the flight.,5169,neutral or dissatisfied,3
107,3,"I witnessed other passengers gripping their armrests tightly and praying during the turbulence, and the airline did not offer any comforting measures.",5420,neutral or dissatisfied,3
108,40,The extended wait for flight arrival was frustrating.,5481,neutral or dissatisfied,4
109,4,I was assigned a cramped seat.,5688,neutral or dissatisfied,3
110,30,The customer service agent was uninterested in resolving my issue and did not offer any alternatives.,5691,neutral or dissatisfied,4
111,29,The flight crew lacked professionalism and didn't prioritize customer satisfaction.,5727,neutral or dissatisfied,4
112,30,The customer service representative was unable to provide a satisfactory explanation for the issue.,5768,neutral or dissatisfied,3
113,1,The airline's lack of compensation for the delay made the situation worse.,5915,neutral or dissatisfied,4
114,-1,The flight lacked proper accessibility for passengers with mobility challenges.,5973,neutral or dissatisfied,4
115,19,The flight attendants were unapproachable and unfriendly.,6166,neutral or dissatisfied,1
116,31,Inadequate support for passengers with allergies.,6275,neutral or dissatisfied,4
117,-1,The extended delay in flight arrival caused frustration and impacted my itinerary.,6284,neutral or dissatisfied,4
118,46,"The airline didn't offer any onboard charging options for electronic devices, limiting passengers' access to power.",6372,neutral or dissatisfied,3
119,37,"The airline's ticket rebooking process was convoluted and time-consuming, causing unnecessary stress and inconvenience.",6375,neutral or dissatisfied,3
120,0,The flight attendant forgot to bring me a requested beverage refill.,6381,neutral or dissatisfied,4
121,43,The delayed flight arrival caused significant inconvenience for me.,6385,neutral or dissatisfied,3
122,8,The prolonged delay in flight arrival disrupted my plans and left me dissatisfied.,6390,neutral or dissatisfied,3
123,60,The staff showed a lack of attention to detail and organizational skills.,6422,neutral or dissatisfied,4
124,-1,"The prolonged delay in our flight's departure resulted in a domino effect, causing us to miss connecting flights and disrupting our entire travel itinerary, leaving us stressed and exhausted.",6469,neutral or dissatisfied,4
125,48,I demand compensation for the departure delay. This is an affront to my plans!,6516,neutral or dissatisfied,4
126,32,The lavatory waste bins were overflowing and not promptly emptied.,6528,neutral or dissatisfied,3
127,6,"The onboard entertainment system was faulty and unreliable, providing a subpar experience.",6540,neutral or dissatisfied,3
128,3,"The turbulence was so intense that it caused turbulence-related injuries, and the airline did not take adequate responsibility.",6578,neutral or dissatisfied,4
129,40,I was annoyed by the excessive delay in our flight departure.,6586,neutral or dissatisfied,4
130,-1,I faced challenges and confusion due to lack of clear signage and directions.,6606,neutral or dissatisfied,3
131,-1,"The airline provided insufficient assistance for passengers with hearing impairments, causing communication difficulties.",6823,neutral or dissatisfied,3
132,6,I was disappointed with the outdated and insufficient in-flight entertainment options.,6857,neutral or dissatisfied,3
133,49,"The flight was delayed, causing me to miss important events.",6928,neutral or dissatisfied,3
134,3,"The turbulence was so severe that overhead compartments opened, and bags fell, posing a safety risk to passengers.",6993,neutral or dissatisfied,4
135,9,The flight was significantly delayed due to a technical issue that could have been avoided.,7022,neutral or dissatisfied,4
136,0,"Limited selection of in-flight beverages, leaving passengers with few options.",7046,neutral or dissatisfied,3
137,1,The airline's lack of communication and empathy towards my missed connection caused immense stress and disappointment.,7092,neutral or dissatisfied,4
138,54,"The condition of the in-flight toilets was unsanitary, and it was unpleasant to use them.",7096,neutral or dissatisfied,4
139,12,The online check-in process was frustrating and caused unnecessary stress before my flight.,7114,neutral or dissatisfied,4
140,-1,The extended delay caused me to miss important engagements.,7118,neutral or dissatisfied,4
141,18,The airline did not communicate the revised departure time effectively.,7174,neutral or dissatisfied,3
142,2,The prolonged delay in flight arrival left me feeling overwhelmed and filled with disappointment.,7237,neutral or dissatisfied,3
143,-1,How can the airline justify the delay in departure? This is an outrage!,7307,neutral or dissatisfied,3
144,12,Issues with the online booking system.,7347,neutral or dissatisfied,4
145,1,The airline's failure to communicate effectively during the delay added to my frustration.,7389,neutral or dissatisfied,4
146,-1,"The delayed flight arrival disrupted my plans, and I felt inconvenienced and frustrated.",7431,neutral or dissatisfied,4
147,21,"I found the gate announcements to be inconsistent and lacking important updates, leading to confusion and delays.",7526,neutral or dissatisfied,3
148,37,"The airline's online refund request process was confusing and cumbersome, requiring excessive documentation and time.",7602,neutral or dissatisfied,3
149,-1,I encountered difficulties in receiving timely updates about flight status.,7619,neutral or dissatisfied,3
150,36,The flight attendants did not assist with overhead bin space for late-boarding passengers.,7659,neutral or dissatisfied,4
151,-1,The staff provided unprofessional and unsatisfactory assistance during boarding.,7681,neutral or dissatisfied,1
152,13,The airline's prices were inflated compared to other carriers offering similar services.,7769,neutral or dissatisfied,4
153,27,"The airline's in-flight announcements were delivered in a rushed manner, making it difficult to understand and follow the information provided.",7878,neutral or dissatisfied,4
154,65,The arrival delay resulted in missed transportation options.,7886,neutral or dissatisfied,4
155,-1,"I had a medical appointment upon arrival, but the delay made me reschedule.",7976,neutral or dissatisfied,4
156,1,The continuous delays in flight departure made me question the airline's efficiency.,8146,neutral or dissatisfied,3
157,35,The staff provided inadequate and unsatisfactory solutions to passenger issues.,8176,neutral or dissatisfied,4
158,-1,The delay in departure created unnecessary wait times.,8178,neutral or dissatisfied,4
159,6,My in-flight entertainment system was faulty and didn't work.,8416,neutral or dissatisfied,3
160,1,The lack of compensation for the inconvenience caused by the delays disappointed me.,8420,neutral or dissatisfied,4
161,0,The quality of the meals served on the flight was below par and didn't meet my expectations.,8427,neutral or dissatisfied,3
162,1,The airline's inability to manage the delays efficiently made me lose confidence in their services.,8436,neutral or dissatisfied,4
163,0,"The airline's onboard beverage options were limited and often out of stock, leaving passengers with few choices.",8442,neutral or dissatisfied,4
164,4,Lack of privacy screens between seats.,8495,neutral or dissatisfied,3
165,57,I expected the airline to provide accurate and timely information about the delays.,8516,neutral or dissatisfied,4
166,14,The flight attendants did not address passenger concerns promptly.,8563,neutral or dissatisfied,4
167,54,The in-flight toilets were filthy and lacked necessary supplies.,8581,neutral or dissatisfied,4
168,-1,The airline's inability to adhere to the schedule has deeply disappointed me.,8758,neutral or dissatisfied,3
169,33,I encountered difficulties in redeeming my airline miles and faced restrictions on reward availability.,8768,neutral or dissatisfied,4
170,2,The flight's excessive delay in arrival deeply impacted my mood and overall travel experience.,9001,neutral or dissatisfied,3
171,-1,The airline did not provide any assistance during the prolonged delay.,9024,neutral or dissatisfied,4
172,12,I experienced delays and inconvenience due to the airline's complicated and time-consuming seat selection process.,9058,neutral or dissatisfied,4
173,-1,The flight delay resulted in missed connections and added travel stress. Unacceptable.,9060,neutral or dissatisfied,3
174,0,I was dissatisfied with the limited selection of in-flight beverages.,9069,neutral or dissatisfied,4
175,1,The airline's failure to minimize the delays made me question their reliability.,9118,neutral or dissatisfied,4
176,3,The lack of communication during turbulence made me feel uneasy and unsafe.,9136,neutral or dissatisfied,4
177,5,This delay is unacceptable! I demand an explanation for the incompetence of this airline!,9177,neutral or dissatisfied,4
178,48,I expect the airline to compensate me for the departure delay. This is my right!,9240,neutral or dissatisfied,4
179,-1,"Arrival was delayed, negatively impacting my overall experience.",9288,neutral or dissatisfied,4
180,23,The extended delay inconvenienced passengers on board.,9443,neutral or dissatisfied,3
181,10,"The flight experienced constant turbulence, which made the journey uncomfortable and unsettling.",9473,neutral or dissatisfied,4
182,5,The constant delays on this flight are an insult to passengers like me.,9571,neutral or dissatisfied,3
183,5,This airline's incompetence and delays have me boiling with anger! They should be ashamed!,9573,neutral or dissatisfied,3
184,19,The flight attendants displayed an unfriendly and unapproachable attitude.,9585,neutral or dissatisfied,3
185,-1,The extended delay impacted my plans at the destination.,9676,neutral or dissatisfied,3
186,0,"The airline didn't provide any vegan meal options, disregarding passengers with dietary restrictions.",9677,neutral or dissatisfied,0
187,9,"The flight had a late departure due to issues with the aircraft, inconveniencing passengers' schedules.",9823,neutral or dissatisfied,3
188,36,The flight attendants did not provide assistance to elderly passengers with carrying their luggage.,9870,neutral or dissatisfied,3
189,9,The flight departure was delayed for an unacceptable amount of time.,9878,neutral or dissatisfied,3
190,-1,The significant delay in flight arrival affected my schedule and left me dissatisfied.,9917,neutral or dissatisfied,3
191,8,"The flight arrival was significantly delayed, affecting my schedule.",9937,neutral or dissatisfied,3
192,57,I expected the airline to handle the delays more efficiently and proactively.,9974,neutral or dissatisfied,3
193,40,The flight's prolonged delay in arrival left me frustrated and dissatisfied.,10004,neutral or dissatisfied,3
194,1,The airline's lack of assistance during the delay left me feeling stranded and frustrated.,10038,neutral or dissatisfied,4
195,29,"The flight attendants lacked proper language skills, causing difficulties in communication.",10086,neutral or dissatisfied,1
196,43,The prolonged delay in flight departure created inconvenience and frustration for me.,10114,neutral or dissatisfied,4
197,54,"Restroom cleanliness was below acceptable standards, making it an unpleasant experience.",10128,neutral or dissatisfied,4
198,55,I received inadequate assistance from the flight attendant during turbulence.,10174,neutral or dissatisfied,3
199,1,The airline's disregard for punctuality had a significant impact on my travel experience.,10275,neutral or dissatisfied,3
200,6,"I was disappointed with the lack of clear instructions during the pre-flight safety demonstration, leaving me unsure about emergency procedures.",10564,neutral or dissatisfied,3
201,35,The flight attendants lacked empathy and failed to address my concerns and complaints.,10662,neutral or dissatisfied,4
202,34,The flight lacked proper entertainment options for children.,10681,neutral or dissatisfied,4
203,16,I had to wait for a long time for my bag to be brought to the aircraft after landing.,10738,neutral or dissatisfied,3
204,4,The airline did not have enough space for passengers to stretch their legs during the flight.,10753,neutral or dissatisfied,4
205,31,Insufficient support for passengers with medical conditions.,10764,neutral or dissatisfied,3
206,10,"The flight experienced excessive turbulence, causing discomfort and anxiety for the duration of the journey.",10796,neutral or dissatisfied,3
207,8,The delay in departure disrupted my plans and caused unnecessary stress.,10815,neutral or dissatisfied,2
208,65,The arrival delay resulted in additional travel expenses.,10845,neutral or dissatisfied,4
209,17,I received my bag with broken or damaged locks.,10879,neutral or dissatisfied,3
210,8,I had to rearrange my plans due to the prolonged delay in flight departure.,10880,neutral or dissatisfied,4
211,33,"I found the airline's frequent flyer program to be confusing, with complicated rules and restrictions that made it hard to redeem rewards.",10906,neutral or dissatisfied,4
212,40,I was dissatisfied with the significant delay in our flight departure.,10934,neutral or dissatisfied,3
213,27,Flight announcements were unclear and difficult to comprehend.,10941,neutral or dissatisfied,2
214,10,"The turbulence was continuous and turbulent, making it difficult to rest or find any comfort throughout the entire flight.",11022,neutral or dissatisfied,4
215,11,"I was devastated by the significant delay in our flight departure, causing me to miss important plans.",11110,neutral or dissatisfied,3
216,0,The flight attendant ignored my request for a specific dietary accommodation.,11275,neutral or dissatisfied,4
217,35,The flight attendants showed a lack of empathy towards passengers.,11283,neutral or dissatisfied,1
218,10,"The turbulence was continuous and rough, causing constant jolts and discomfort throughout the flight.",11352,neutral or dissatisfied,3
219,0,"The airline did not accommodate passengers with allergies, causing discomfort and health risks.",11444,neutral or dissatisfied,3
220,5,The delayed arrival tarnished my travel experience. The airline should be ashamed!,11526,neutral or dissatisfied,3
221,20,I encountered a lack of responsiveness and attentiveness from the airline staff.,11599,neutral or dissatisfied,4
222,56,I encountered difficulties in requesting seat upgrades.,11667,neutral or dissatisfied,4
223,2,The prolonged delay in flight arrival deeply affected my mood and overall travel experience.,11727,neutral or dissatisfied,3
224,8,"The flight arrival was significantly delayed, affecting my plans.",11749,neutral or dissatisfied,4
225,5,This airline's delays have made me see red! I will never forgive them for this incompetence!,11783,neutral or dissatisfied,3
226,8,The delayed flight departure disrupted my plans and caused unnecessary stress.,11803,neutral or dissatisfied,3
227,0,The airline did not offer any complimentary snacks during the flight.,11814,neutral or dissatisfied,4
228,-1,The delay in departure made me lose a day of productivity. Frustrating and wasteful.,11935,neutral or dissatisfied,4
229,-1,Lack of support for passengers with language barriers.,11941,neutral or dissatisfied,3
230,34,"The assistance and amenities for families traveling with children were insufficient, making the journey challenging.",11946,neutral or dissatisfied,3
231,0,I received a meal that did not match the description on the menu.,12022,neutral or dissatisfied,4
232,2,The extended wait for flight arrival heightened my frustration and diminished my excitement.,12191,neutral or dissatisfied,4
233,2,The significant delay in flight arrival dashed my hopes and spoiled my travel experience.,12206,neutral or dissatisfied,4
234,13,"Despite the expensive fare, the flight did not provide any exclusive or unique features.",12323,neutral or dissatisfied,4
235,-1,I experienced a lack of hand sanitizers or hygiene supplies onboard.,12341,neutral or dissatisfied,4
236,31,"The assistance for passengers with disabilities was inadequate, making my travel experience challenging.",12347,neutral or dissatisfied,4
237,15,I encountered unclean or unsanitary surfaces on the seat headrests.,12371,neutral or dissatisfied,4
238,8,The delay in departure messed up my entire schedule for the day.,12400,neutral or dissatisfied,4
239,-1,I expected the airline to prioritize customer satisfaction by minimizing delays.,12429,neutral or dissatisfied,4
240,-1,"The airline didn't provide any assistance for passengers with language barriers, making communication difficult.",12441,neutral or dissatisfied,4
241,5,I am absolutely seething with anger! These delays are inexcusable and infuriating!,12495,neutral or dissatisfied,3
242,40,The prolonged wait for flight arrival was highly frustrating.,12509,neutral or dissatisfied,3
243,2,The extended delay in flight arrival left me feeling disheartened and filled with regret.,12615,neutral or dissatisfied,4
244,57,I expected better customer support from the airline during the extended delay.,12770,neutral or dissatisfied,4
245,23,The flight delay caused inconvenience for passengers.,12771,neutral or dissatisfied,3
246,9,The flight's excessive delay in arrival was unacceptable.,12797,neutral or dissatisfied,3
247,26,The airline did not offer any compensation for a damaged or lost personal item.,12825,neutral or dissatisfied,2
248,0,I encountered a delay in receiving my pre-ordered special meal.,12911,neutral or dissatisfied,4
249,-1,The airline's lack of punctuality negatively impacted my travel experience.,13045,neutral or dissatisfied,3
250,-1,I experienced long wait times for customer service support.,13105,neutral or dissatisfied,4
251,26,The airline did not provide sufficient compensation for a significant delay.,13130,neutral or dissatisfied,4
252,48,I deserve a full refund for the delayed arrival. This is an utter disappointment!,13147,neutral or dissatisfied,3
253,8,The delay in departure disrupted my personal plans.,13166,neutral or dissatisfied,3
254,2,The constant delays and unexplained changes in departure gates left me feeling helpless and angry.,13216,neutral or dissatisfied,4
255,38,Challenges in changing flight reservations created inconvenience and additional fees.,13256,neutral or dissatisfied,3
256,12,"The airline's mobile app was glitchy and difficult to navigate, causing frustration and inconvenience in managing travel arrangements.",13315,neutral or dissatisfied,4
257,2,I was overcome with a mix of sadness and frustration as the flight departure was continuously delayed.,13345,neutral or dissatisfied,4
258,2,The flight's extended delay in arrival had a profound impact on my mood and enjoyment of the trip.,13357,neutral or dissatisfied,4
259,60,The staff showed a lack of professionalism and accountability.,13377,neutral or dissatisfied,3
260,28,Problems with the airline's baggage policy.,13393,neutral or dissatisfied,3
261,57,I expected better communication from the airline regarding the status of the delayed flight.,13428,neutral or dissatisfied,3
262,47,"The in-flight Wi-Fi was not functioning, despite being advertised.",13702,neutral or dissatisfied,3
263,8,"The flight departure was delayed, disrupting my plans.",13755,neutral or dissatisfied,4
264,3,"The turbulence was so intense that it disrupted meal service, and the flight attendants seemed overwhelmed and unprepared.",13812,neutral or dissatisfied,3
265,62,"The airline didn't provide proper assistance for elderly passengers, neglecting their specific needs and comfort.",13877,neutral or dissatisfied,0
266,24,"The airplane lacked proper air conditioning, resulting in an uncomfortably hot cabin temperature.",13895,neutral or dissatisfied,0
267,7,The emotional strain caused by the airline's negligence and lack of consideration was truly disheartening.,13937,neutral or dissatisfied,0
268,-1,"The airplane experienced significant turbulence, and the flight crew did not offer any reassurance or updates.",14132,neutral or dissatisfied,4
269,41,Noise insulation issues on the flight.,14143,neutral or dissatisfied,4
270,39,The air crew seemed untrained in handling challenging situations with passengers.,14206,neutral or dissatisfied,4
271,48,The arrival delay robbed me of valuable opportunities. I demand restitution!,14208,neutral or dissatisfied,4
272,15,The tray tables were sticky and unclean.,14303,neutral or dissatisfied,3
273,18,"The airline did not provide any updates during a long delay, leaving passengers uninformed.",14315,neutral or dissatisfied,4
274,45,Lack of coordination during boarding and deplaning caused congestion and delays.,14355,neutral or dissatisfied,4
275,0,The flight attendants did not offer any pillows or blankets upon request.,14395,neutral or dissatisfied,4
276,-1,I was on the verge of tears as the flight departure was continuously pushed back without clear updates.,14453,neutral or dissatisfied,3
277,-1,"The flight attendants seemed untrained and inexperienced, unable to handle my requests efficiently.",14524,neutral or dissatisfied,3
278,43,The delayed flight arrival caused inconvenience and impacted my overall travel experience.,14549,neutral or dissatisfied,4
279,11,"I was devastated by the significant delay in our flight departure, as it disrupted my important plans.",14577,neutral or dissatisfied,4
280,10,The turbulent weather conditions made it difficult to rest or sleep during the flight.,14581,neutral or dissatisfied,3
281,0,I was dissatisfied with the quality of the in-flight meals.,14638,neutral or dissatisfied,3
282,55,I received poor customer service from the flight attendants.,14795,neutral or dissatisfied,3
283,6,Outdated and uninteresting onboard magazine.,14905,neutral or dissatisfied,4
284,23,The flight delay caused inconvenience for all passengers.,14958,neutral or dissatisfied,4
285,-1,The airline's inability to stick to the schedule is an insult to passengers like me.,15064,neutral or dissatisfied,3
286,16,"The baggage claim area was understaffed, leading to long wait times.",15103,neutral or dissatisfied,3
287,-1,"Arrival was significantly later than expected, causing disappointment.",15316,neutral or dissatisfied,4
288,-1,The flight attendants did not enforce mask-wearing properly.,15394,neutral or dissatisfied,4
289,11,"I was emotionally crushed by the significant delay in our flight departure, disrupting my plans.",15419,neutral or dissatisfied,3
290,58,I received inconsistent and contradictory information from different staff members.,15440,neutral or dissatisfied,3
291,5,The never-ending delays of this airline have pushed me to my limit! I'm absolutely livid!,15450,neutral or dissatisfied,4
292,-1,I experienced long wait times and delays at the customer service desk.,15507,neutral or dissatisfied,4
293,-1,I had to endure a lengthy delay in flight departure without clear updates from the airline.,15541,neutral or dissatisfied,4
294,9,The flight departure was postponed due to weather conditions.,15552,neutral or dissatisfied,3
295,1,The continuous delays throughout my journey made me question the airline's professionalism.,15589,neutral or dissatisfied,4
